latitude,longitude,stake_weight,uuid,GDI,country
29.9891,-97.8772,1,36501f5e-a86c-4949-8b25-1ba7158de1fb,2806330.1354322196,United States
29.9988,-95.1766,1,608eccf0-9bb9-4bd0-9402-0eafd4b26a55,2839251.9151587607,United States
30.0198,-95.4087,3,be332e7d-a725-46d9-b90a-0d989508e2de,2843406.830874023,United States
30.0972,-95.6161,1,ddbc7a0f-d5c7-498b-9aaa-b41733992881,2844840.3720333716,United States
30.2428,-97.7658,20,5f7f43b4-c8dc-4058-b490-488cff750d7e,2793617.746091315,United States
30.3322,-81.6556,1,17e4f813-e9c8-475d-bac0-0c11e9cfbbcb,2684426.4162095245,United States
30.3586,-103.6621,1,bab60669-0aa8-4443-8a50-e7b628748abe,2946824.2822060282,United States
30.4016,-86.8636,3,d1033689-d900-4124-8ff0-6dfe076eb278,2729924.4579775957,United States
30.43,-97.8326,5,2047bbd8-52d8-40d7-8609-ebfd83feba2d,2787985.41108908,United States
30.4394,-97.62,6,f0f9a503-9301-46c3-b378-c6d34b73658f,2782476.9295074744,United States
30.4478,-84.3211,1,fe5d7ead-b6b6-4dcd-8736-162babd1185e,2695593.821153085,United States
30.6667,104.0667,8,04a57731-1e45-4410-9499-7094f9986106,3722295.669423877,China
30.8202,-96.3059,1,941a69fc-b375-4b85-b08f-fca91bd9ffc7,2797553.61325204,United States
31.0982,-97.3428,1,c3940c94-c56d-44a9-b411-d0962d490b68,2751001.276213971,United States
31.1082,-85.5944,1,7846633e-d449-4549-a149-f91de71041ff,2675946.1175802858,United States
31.2222,121.4581,44,3a2f27ce-5201-4fcf-943f-e5587c5b0cba,3977002.910526034,China
31.535,-97.1899,1,1662183e-8855-476b-b739-d5fc7428c3fd,2714331.4827722386,United States
31.769,35.2163,1,95f929e4-0368-44c6-81e9-47ba71096f72,2216685.452052664,Israel
31.9293,34.7987,24,6d40862e-0aa6-4641-83f3-823d43a0ebee,2193293.5249899295,Israel
32.0617,118.7778,1,969ecfd7-74ac-4b63-93d7-b13801d2ad09,4013573.3762427545,China
32.3234,-110.9951,2,c8902297-8b2b-4194-8208-da7f45a8948a,2958467.134015514,United States
32.3329,34.8599,2,7be029c6-e876-4066-819f-64807cc31cd6,2178552.6277942574,Israel
32.473,-84.9795,1,33709574-0d07-45fb-9661-b430f425916c,2591542.5489801797,United States
32.6278,-115.4545,1,a793466c-f25a-4b12-bf09-b84b4ef92ec3,2817238.8970856373,Mexico
32.6354,-86.0344,1,8219a47b-32bf-4cc3-8c6e-cacfe18312a6,2590672.606011784,United States
32.6401,-117.0842,14,8110a5bb-9842-41b2-88a7-e7e387a6c1d2,2884003.1988591836,United States
32.7254,-97.3208,2,b747021e-b125-492e-a346-41ee69c7ed7e,2650140.4585317727,United States
32.7831,-96.8067,18,de29d922-2c03-4193-b298-e9d2ba2cbe51,2627821.6351112872,United States
32.7969,-117.2405,10,88143a06-0825-49bd-b8e0-9588ee0b5dc4,2882971.0411263304,United States
32.8059,130.6918,1,45cd2002-2ce7-49b1-818c-f1b75738ab91,3896287.5972996415,Japan
32.8546,-79.9748,3,837720d3-15c8-4c18-8499-7f994a5d2ad8,2509986.8281933186,United States
32.9029,-96.5639,5,f29fc2b9-05e9-41d9-a14c-36d35c4a9ad7,2609901.236025165,United States
33.037,-117.292,5,4a070c24-957f-4f0a-9125-eb2b4fc41dbf,2875790.675279944,United States
33.1032,-96.6706,2,83cce9b3-7f88-4571-bbc5-38cb04652731,2605621.160307493,United States
33.2533,126.5618,1,4ce1b194-e60f-412a-b8d7-5bb8272c7fe6,3789765.3232871355,South Korea
33.4054,-86.8114,3,2e77e63e-a3ef-4df0-9dbf-e09245187f1b,2557494.358274381,United States
33.4484,-112.074,19,7cb0d451-dd6e-4050-b791-9f568eb0e9b3,2838730.5798188536,United States
33.471,-81.9748,1,72401283-779f-41d6-a470-318e35ee1d58,2505190.6208671215,United States
33.4936,-117.1484,3,f9324e56-9b7f-467d-90c0-4769ba87f525,2836377.0960139716,United States
33.5017,-117.6625,6,d4d27682-9ec9-4836-b41f-7db673c23ec7,2879782.4998945612,United States
33.5726,-84.4133,14,0dc190b3-7e14-4117-a0ee-e18ffe9717a4,2514089.8508797796,United States
33.6654,-117.9686,17,f3c24f38-4a54-470e-9b8e-f26dfed251ee,2873958.164022327,United States
33.767,-118.1892,7,cbbfb60a-ef2a-4426-8d0f-3b975aa71520,2886650.264217089,United States
33.8126,-84.6344,5,fecc896d-374e-4dcb-9246-7e982abd7f50,2507941.559573655,United States
33.8622,-118.3995,47,ab569a05-f6ee-48c3-9c97-adeb6b9dff10,2889912.2548303204,United States
33.8753,-117.5664,3,c60e00fb-db60-47cd-b68c-078d454860d6,2863827.138804713,United States
33.8873,-117.8946,3,be0321b4-7454-465c-be05-79c88c75963a,2873355.995065129,United States
33.8935,-5.5473,1,38612c12-d534-4907-8e61-ea8df6ed387d,2019649.7587207847,Morocco
33.9412,-84.2135,5,e955d609-f366-49c9-af0e-5525be00dfed,2491469.909954602,United States
33.9935,-81.074,2,d532d36d-ee31-427c-85c9-038e93ea02f3,2459146.8857399104,United States
34.0336,-117.0431,3,696b0952-7e50-4955-8bee-1cfc50353ea4,2842851.4630805603,United States
34.0534,-118.1271,5,8c68997c-96d0-4a6e-b53b-7bd8325c3216,2874815.8586289953,United States
34.1065,-84.0335,2,d6d0b68c-3356-4cee-ad71-73afb22bd913,2484014.4156325795,United States
34.1472,-118.8383,5,fa6ca23a-5ce5-4758-98cf-91b80e9287e6,2903364.164536803,United States
34.1993,-118.5983,3,cd687eb8-08f0-4520-91bb-19179abf9398,2893973.955798294,United States
34.2237,-77.8862,2,d3326d85-efc6-4e9a-9850-c50c7e35c027,2442118.3842182416,United States
34.2313,-119.0464,1,b064aa90-1879-4805-871f-ca4975f035cf,2897720.3380550654,United States
34.2583,108.9286,1,5d754db1-b5fc-4d96-9221-a65d18a2edd6,3730422.8589966064,China
34.2979,-83.8241,1,5770f371-f47e-4af3-ac87-8a10c3246807,2475558.3274484756,United States
34.3985,-118.5535,2,37503e47-8b1c-41c1-9bdd-063d2cf8fbed,2876479.7912803623,United States
34.4208,-119.6982,1,47801031-5f33-4ec7-a088-d32dc5e2aa52,2921723.521302477,United States
34.4839,-114.3225,1,f18ef456-71e8-4070-a3ad-2091fa0b2c06,2721348.6034357413,United States
34.5789,136.5371,1,b8551858-6b6f-4829-a736-1298a46cd702,3805264.1330742994,Japan
34.6059,-86.9833,1,04685109-4e22-44ba-9a9b-e73e43191615,2479797.479078035,United States
34.65,133.9333,1,f65085c1-45bb-40c7-9f1e-b43a782dbf2e,3711802.6226927345,Japan
34.6938,135.5011,2,32123052-c361-47ed-ba33-d6fb80e6c125,3740566.9625758743,Japan
34.7304,-86.5859,2,796feb44-0bb3-4d83-9142-8d1c5b00a4fa,2485465.791209655,United States
34.7371,-82.2543,3,664001c1-dc8d-452f-94fd-d6be5640adb7,2433644.1713672886,United States
34.7465,-92.2896,1,b9f9b9aa-1ccf-4ff8-91a0-7b088bc8b478,2550953.3112706393,United States
34.8503,128.5886,1,26454a0a-aeb9-4a0a-8da2-c704f602fe1c,3714252.998623257,South Korea
34.9505,127.4878,1,a71faf10-3c16-4d23-b037-a88390c5680f,3664332.1463269694,South Korea
35.0,135.8667,2,38ef2113-b502-49f5-8fcc-deae332021a7,3725968.4951854604,Japan
35.0456,-85.3097,2,7035f61a-5185-463d-8d9c-5f0bdd07b536,2451381.5768638924,United States
35.0523,-86.8886,1,c1ce41aa-c973-4172-9a21-140141c2b0de,2456239.2331966935,United States
35.0845,-106.6511,2,659ab23a-2f5c-4f61-8828-d9fc625860f4,2711478.3474128903,United States
35.1017,129.03,2,93ba5c21-6a4d-4bc5-b8ea-7ce99bcc03f3,3713520.9857754624,South Korea
35.1287,-80.9338,6,ef01fbca-c6cb-4fd3-a33f-575de5843c31,2398313.4172837776,United States
35.1547,126.9156,1,5b07dc86-18e0-4a41-aa80-307c29b2eb78,3703416.6586889154,South Korea
35.1753,33.3642,1,cc8919cd-45fe-4113-83c2-289f638fbc83,2185214.765437062,Northern Cyprus
35.3721,140.38,1,abe0edcd-16c3-44f6-a8d6-b9be4ae0e0b7,3919195.191590197,Japan
35.4089,-80.5816,1,e016bbc6-63a3-4431-9b33-6decfd5dc87f,2380437.4516891204,United States
35.4282,-120.7695,1,806638f7-2058-4b4c-9529-7a120117df67,2809658.214922945,United States
35.4333,139.65,1,10bf3a64-7869-48ec-8a23-6661f76607cf,3880198.692921241,Japan
35.4676,-97.5164,5,05f18716-e581-4dc1-ba94-adfdd01666e2,2534826.9259740245,United States
35.5393,-82.518,2,a1304b53-3fe4-4627-a259-3bda75d00ce6,2380312.8110118983,United States
35.609,139.7302,145,6b638c2a-f97e-423a-b99f-37c75c472f30,3875282.562380002,Japan
35.6558,139.3239,1,c16b8d5f-631f-444e-81f5-2a7e367713af,3859676.2920612865,Japan
35.7113,-78.6142,1,bf66a20f-da84-4d57-a363-230fde56eae1,2350646.251219815,United States
35.7326,-78.8503,5,c08843c6-8f16-42e6-aace-63bdef39800f,2350366.4818263473,United States
35.7415,-94.6433,1,48ee2652-1c01-4119-8e11-ac1a72d78f8b,2431587.202922211,United States
35.7895,-83.9738,2,b680b998-8015-4322-945b-8c401262b336,2391728.1331487526,United States
35.8047,139.6019,2,934e616d-6c9b-4a01-be0e-e2724a289a8c,3857892.806888007,Japan
35.876,14.472,5,6fbbe259-dcf3-405d-a8b8-d33ff0185fcc,1946388.2289197883,Malta
35.9328,-86.8788,2,941a5f01-a111-45b6-b2f6-808583dac32e,2405922.492474414,United States
35.998,-83.9152,2,db898e56-92f6-49a8-948f-b40ba5cb7a65,2384934.811709827,United States
36.0649,120.3804,2,4a6f9fd3-07f4-402a-af17-8bbef00b8334,3838211.7372175604,China
36.1052,-86.6591,4,bf4649b3-bd09-4279-8ccc-efa3a3e21409,2397784.8498240025,United States
36.1333,-5.4505,1,c49ec3de-cc1c-4653-b7ce-5a215dc7616b,1912936.3264244709,Spain
36.175,-115.1372,18,aeba1ad9-2b87-4cc7-95f7-83c85fb97bb8,2710569.808071365,United States
36.1911,5.4137,1,b8f5e8d5-952b-49ad-8f12-d487a9baf9a4,1834464.2431304806,Algeria
