latitude,longitude,stake_weight,uuid,GDI
24.7,46.7,0.002241244303565298,16Uiu2HAmKb5Ldnfa9gEh3ndoiJQQkBQF9x9UpHpg3HHYgQFvGECM,0.00095372557204544
24.8,121.0,2.9393367915610465e-05,16Uiu2HAmEGZ4xMEmhLFuGqsmaLM55nCKDQQeiRgRJcaB31yGAcbw,0.0015876937606010709
25.0,121.3,4.394308503383765e-05,16Uiu2HAmS4nvT2fR7SEqvPPFitK2zHR5Kx7K6wAWBVyBjf7r3H3F,0.0016036897935089592
25.0,121.5,0.0009138398084963294,16Uiu2HAmDj7qAUTwRKKUwCkytYP5yDbfgobm5FkHjEA5QNSLnxuY,0.0016135763132584496
25.1,55.3,0.000129183851989108,16Uiu2HAm5aSGZpL1Uf6WYPNfkP4ZgBFKswvgZNt6yWG146885wmv,0.0010131158821312216
25.7,-100.3,2.9393367915610465e-05,16Uiu2HAm3tmsWy7hRUG5tbpdRXZw1sPHfRv9JvDkcT2iMbnwJbms,0.0014703225383469877
25.7,-80.4,5.8345835312486774e-05,16Uiu2HAmR5w549DoZpPeoMcWa7HfDnFA76AqzZoVaCsubHogjRM8,0.0013869203852917493
25.8,-80.2,0.002042251202776615,16Uiu2HAmEH63zHFLNVg2KLBXozWHHTUETaqS3koxMdw7nc8Lmzcx,0.0013839911725628817
25.9,-97.5,0.0003183301745260613,16Uiu2HAm6GbdNcMYaTx2jZsbv2cm1HnEfp6XjZz3VhASjZhDohiD,0.0014759539993812558
26.0,-80.3,5.731706743544041e-05,16Uiu2HAm7ShorqbE2KbnGhSCBuv4Dg3GRTcXQxTs1aE9LWYKBvny,0.0013792022494171676
26.1,-97.3,1.4696683957805232e-05,16Uiu2HAkui2Ahc7HHxmgFCffTJyY2QmvMvPsTghDRFLvsuMbYQdX,0.0014687862407626348
26.1,-80.1,0.0019690617166667453,16Uiu2HAm5EkLYfzzRRAnzivjZrJF6e7DoqjnU33uzp1DXnJLctuz,0.0013763412217019729
26.2,-98.2,2.9393367915610465e-05,16Uiu2HAmTZUjFKCP8iHZYLeSBSU5d1rj2AP5zgoFpidionfGKkft,0.0014660393466687325
26.3,-80.2,7.348341978902616e-05,16Uiu2HAmBAMGFa4J3dsWKmMkaSNWYBtHu4Zr3pWKqJkA6gwcPNDV,0.001371598884603774
26.3,127.8,6.334270785814056e-05,16Uiu2HAmKtmo31g3Kg8jzwi7p53pvkXNWe1fbGpP4johWcT39Bwj,0.0020101790130663886
26.5,-80.1,8.186052964497515e-05,16Uiu2HAkyvEXbZDCqrQeYgNBgeEod6iCQqWwJ9Yvn99ZwVCUaDBk,0.001366536036699954
26.6,-81.9,4.2032516119322966e-05,16Uiu2HAkvY73V7S21NcNbZMfAj9NVkWTyLuzMgVnJqrb2SWH5Qa9,0.0013688366387372953
26.7,-80.2,0.0002111913484736612,16Uiu2HAmNowuiAr5BZnFT7jrrGEUtMZ2DP6e8oSH6bJKZeettDVV,0.0013618663689353384
26.7,119.5,2.9393367915610465e-05,16Uiu2HAmLawzCVNYWxAeb8e39WQrwsBuyQ4dvXmVfhLjCdrEaT6m,0.001484647282551846
26.9,-80.1,1.4696683957805232e-05,16Uiu2HAmQodumnqqCtvE7NryHmcUvrFGVRXXtciCZ5yNAMREk2Sv,0.0013568902091785514
26.9,75.8,4.159161560058881e-05,16Uiu2HAm6YeY9dhHNTDMVARd2Sbg93L7wCLgFqS1zykQmMd6kKwK,0.0010335702731194202
27.1,-82.5,1.4696683957805232e-05,16Uiu2HAmJc8tj2imqwpMjAS62BABvUnN2WsrtE1n3jZ21M9ZroBp,0.0013621689442664185
27.3,-82.5,7.069104983704317e-05,16Uiu2HAmLvTGbgQib5qefiD2DuUrY7KzwEmcMTKF6nRrhLKKwkEd,0.001357318083474945
27.7,-97.4,2.7041898482361625e-05,16Uiu2HAmHfFdceZRZD8oEdd9VH7K971bPRdSKMWdxRJbVyNajQys,0.0014142113560374375
27.7,85.3,1.4696683957805232e-05,16Uiu2HAmGTraXktCGyvzJaqwHcGXB7KTtbyAWaSod34Q6wSvDZrE,0.0010905943201717282
27.9,-82.8,0.003227979664492341,16Uiu2HAmPoUAYfL1uH5jVpjC57VCNcPTVon4pGbDcqT4AicBVDks,0.0013442330331216315
27.9,-82.3,1.4696683957805232e-05,16Uiu2HAkzETeKuuLATkbLZDCXosHxfdF3D2hYUEXvK4v2ojh9MFB,0.0013422160012227175
27.9,-15.4,1.4696683957805232e-05,16Uiu2HAmKhHRfjBczqLjCbRUgEpZKPRwGX38GGaRCgbxxQ7K2tfb,0.0007352923796139565
28.1,-80.7,0.00012742024991417136,16Uiu2HAkvq5WQLLci2mpeoqdRQVD7whMoUo9ayKfjZkFhPybLPZ7,0.0013296958847623848
28.1,-15.4,1.4696683957805232e-05,16Uiu2HAkz14mPUKF3wPbNQ6vQUVVJKcH7i2BAKGbzLzF2Nc3Grxv,0.0007317345339339004
28.2,-82.3,0.00019282049352640465,16Uiu2HAmPBZj5zXW52SM9vcMEJLAXugqq2YYixTfyxb3oQ5xh3AM,0.0013351871155794076
28.2,-81.3,5.878673583122093e-05,16Uiu2HAmKCcZTZL44Na3dtL6672hjJCwGSr93vZUouoAA6aR6LLb,0.0013287164535955714
28.2,113.0,6.378360837687471e-05,16Uiu2HAmHye9oKcHxMHWE3zctPt6HBDURBJWGCTQZaB9azAmUvxV,0.0013766159905321336
28.4,-81.4,4.40900518734157e-05,16Uiu2HAmFBsQdVrE9UZcBJpmZGmKBFQ2LA1GdokQG9cRsJwXzNxv,0.001324357529751224
28.5,-81.6,5.819886847290872e-05,16Uiu2HAkzK4cyyXMXWiB7RpmHsjhoonq6wpjf6ZstD1qVQME1xgm,0.0013259052366005647
28.5,-16.3,4.159161560058881e-05,16Uiu2HAkyUzqXxyUQVRATEmmPcwsJCkZaLzWGq38qckWB7xfc7CF,0.0007316385767923894
28.7,-81.3,0.0002620418749676673,16Uiu2HAmEhmQM4HYuCpAp7M3qiXj4VVkhK1nwJJJCSaF4gA62KcP,0.0013205309506888368
28.7,77.2,7.348341978902616e-05,16Uiu2HAmCgNR5GFuKxVHapqd91pFnQbK5dZdmsFBKBNXbaJUaQvV,0.0010167488691255862
28.9,-82.0,1.4402750278649129e-05,16Uiu2HAm2DQDhbz7oELFtXyMzR5UMnvb7tBxuA6oHMr1RccwHBQx,0.0013180990912245864
28.9,-81.3,2.895246739687631e-05,16Uiu2HAkurDbxMNxWiCL1N7HSt5uJtHYYfXTg91SzF9dpmZzwem4,0.0013160282489520227
29.0,-82.7,1.4696683957805232e-05,16Uiu2HAmTJvchMcuYmax9zUo6o9hpzqzVVfAhWaqBgfFnRQUjp5W,0.001318473485088762
29.3,-94.8,5.878673583122093e-05,16Uiu2HAmFkrHGmgpWNAC9KcJmc4aasU184uWi19uqUU4MNZGY4Sm,0.0013674510151573133
29.3,-81.1,2.8217633198986046e-05,16Uiu2HAmBTxTgpdaQR9yQ8kFHRESacUULUmgibq8B4HxHKgX9ECN,0.0013066742405978646
