latitude,longitude,stake_weight,uuid,GDI,country,0.9linear_weight,0.8linear_weight,0.7linear_weight,0.6linear_weight,0.5linear_weight
48.1374,11.5755,5.6367114841124306e-05,NodeID-4SvFyvJPHPYvkMnJqBaNcwr5yuU8sCsem,0.005360422407370425,Germany,0.0005867726440940543,0.0011171781733469843,0.0016475837025999147,0.0021779892318528446,0.0027083947611057746
48.5839,7.7455,0.0006935574841236656,NodeID-4bKCgF7VcG9ZtcfMwAVFfBJoh2xDgvz1j,0.00519048462061552,France,0.0011432501977728508,0.0015929429114220363,0.0020426356250712223,0.0024923283387204074,0.002942021052369593
48.6328,2.4405,1.1419609624161758e-05,NodeID-36Vywf4J2tu9gA8xJCxZjwi2JABWSF7qo,0.004969701337965113,France,0.0005072477824582568,0.0010030759552923517,0.0014989041281264475,0.0019947323009605424,0.0024905604737946374
48.8534,2.3488,0.030128715583158244,NodeID-EvZXX2K2eVEV7n6Y8cnmeSRgj4JhkCVad,0.004955184589844056,France,0.027611362483826826,0.025094009384495408,0.022576656285163987,0.02005930318583257,0.01754195008650115
49.2497,-123.1193,5.1163273555203654e-05,NodeID-4WGNJ4vv6bH3FLCJgovqn3D7RCJ8rKBDR,0.011508635186980806,Canada,0.0011969104648977638,0.0023426576562403235,0.0034884048475828846,0.004634152038925444,0.005779899230268005
49.4453,11.0222,0.00551999538519623,NodeID-Bw6s9DYKi2V9jRqNmaheGGg2Wz2Dv7DQo,0.005261268189241944,Germany,0.005494122665600801,0.005468249946005372,0.005442377226409944,0.005416504506814516,0.005390631787219087
50.1025,8.6299,0.08446732689318653,NodeID-NJaSwZPtuiN9TxaFLVF2sk3eNNHGm2UC9,0.005145814960511274,Germany,0.07653517569991901,0.06860302450665148,0.06067087331338396,0.052738722120116426,0.04480657092684891
50.4779,12.3713,0.039113186157470614,NodeID-Chy78FPagNNU7oAj1QWzrdPFjJgZP3Scu,0.005314580176977437,Germany,0.0357333255594213,0.03235346496137198,0.028973604363322657,0.025593743765273343,0.022213883167224027
50.633,3.0586,0.005239546058986901,NodeID-4ETxBbffoA8cU54eMDVwQM5Ue6FEYu4s5,0.004850805315829162,France,0.005200671984671127,0.005161797910355353,0.005122923836039579,0.005084049761723805,0.005045175687408031
50.799,-1.0913,5.478708706883693e-05,NodeID-Btr5hkRibMyYztC9jQg5T3fpKNeYf3Qdq,0.005016260006802129,United Kingdom,0.000550934379042166,0.001047081671015495,0.0015432289629888248,0.002039376254962154,0.002535523546935483
50.8505,4.3488,2.6391673441248047e-05,NodeID-2xWeMjBPrnJejBo1vFiyNZzy2FcquZnae,0.004830822275621229,Belgium,0.000506834733659246,0.000987277793877244,0.0014677208540952427,0.0019481639143132405,0.0024286069745312385
50.9333,6.95,0.0003044866274751306,NodeID-KVB8F5Gy8adXA2zCg3i3m3qJ23NoCDDiA,0.004852027013906574,Germany,0.0007592406661182748,0.001213994704761419,0.0016687487434045639,0.002123502782047708,0.002578256820690852
50.9519,1.8563,2.0690894034203704e-05,NodeID-BNErXKhvFS9jsYTmr8KkaX13FZdTST1t3,0.004876644937198907,France,0.0005062862983506739,0.000991881702667144,0.001477477106983615,0.0019630725113000853,0.0024486679156165555
51.0495,5.2261,0.00010557859972363444,NodeID-LKPvVELtRehiZPQo3aSWuch123JpA7H48,0.0048293056055898715,Belgium,0.000577951300310258,0.0010503240008968816,0.0015226967014835059,0.0019950694020701293,0.002467442102656753
51.2217,6.7762,0.01186503169642482,NodeID-NTTNYBYdkf3n5U4zrZknt1nst9rHzpuCj,0.004850256874613031,Germany,0.011163554214243641,0.010462076732062463,0.009760599249881284,0.009059121767700105,0.008357644285518925
51.3813,1.3862,1.9395095467045578e-05,NodeID-3HvUXQy1siDNUBGWMYxwMfjufh8mxLtQY,0.004891588662265695,United Kingdom,0.0005066144521469104,0.0009938338088267753,0.0014810531655066407,0.0019682725221865055,0.0024554918788663705
51.4416,0.1487,0.0032598867394474152,NodeID-A8X5CqiZhsqSEGNUNqZifHqskMvSUJBG,0.0049413588228359095,United Kingdom,0.003428033947786265,0.003596181156125114,0.0037643283644639633,0.003932475572802813,0.004100622781141663
51.4862,-0.3083,0.014420033230342893,NodeID-tHkVEqdhWPdX2vJGbqDWebw2VPrho4Aq,0.004963970534386224,United Kingdom,0.013474426960747226,0.01252882069115156,0.011583214421555892,0.010637608151960225,0.009692001882364559
51.9942,4.2097,5.5889391798824036e-05,NodeID-Ges52zCMZimxqri3ia1J32mUAKyUsvcpV,0.004848795940616754,Netherlands,0.000535180046680617,0.00101447070156241,0.0014937613564442033,0.001973052011325996,0.002452342666207789
52.2284,21.0522,6.842868060887312e-05,NodeID-6na5rkzi37wtt5piHV62y11XYfN2kTsTH,0.005989530237964662,Poland,0.0006605388363444518,0.0012526489920800306,0.0018447591478156099,0.002436869303551189,0.0030289794592867673
52.374,4.8897,0.012527332428126842,NodeID-KtKf9AuKyBvofsQE7Jn4eAzAndKHu1f4M,0.004864359743824717,Netherlands,0.011761035159696629,0.010994737891266418,0.010228440622836205,0.009462143354405992,0.008695846085975779
52.4066,-1.5122,5.616764523009263e-05,NodeID-PvZnYX1Nz8jp1GjQFixs1TAX9C9QXwrwL,0.0050476909582777485,United Kingdom,0.000555319976534858,0.0010544723078396235,0.0015536246391443897,0.0020527769704491547,0.0025519293017539206
52.5244,13.4105,4.732204048153388e-05,NodeID-xuMEd2su4X2CGiom6AmGcMSxL2H8amTf,0.005411947236025682,Germany,0.0005837845600359486,0.0011202470795903634,0.0016567095991447784,0.002193172118699193,0.002729634638253608
