latitude,longitude,stake_weight,uuid,GDI,country
50.4779,12.3713,6853604289195978,NodeID-Chy78FPagNNU7oAj1QWzrdPFjJgZP3Scu,147437.54595463688,Germany
50.633,3.0586,918098955138528,NodeID-4ETxBbffoA8cU54eMDVwQM5Ue6FEYu4s5,134571.46338063333,France
50.799,-1.0913,9600062071543,NodeID-Btr5hkRibMyYztC9jQg5T3fpKNeYf3Qdq,139161.52182201538,United Kingdom
50.8505,4.3488,4624478444885,NodeID-2xWeMjBPrnJejBo1vFiyNZzy2FcquZnae,134017.09213947048,Belgium
50.9333,6.95,53353640065648,NodeID-KVB8F5Gy8adXA2zCg3i3m3qJ23NoCDDiA,134605.35583505736,Germany
50.9519,1.8563,3625559920616,NodeID-BNErXKhvFS9jsYTmr8KkaX13FZdTST1t3,135288.30840625847,France
51.0495,5.2261,18500000000000,NodeID-LKPvVELtRehiZPQo3aSWuch123JpA7H48,133975.01654741995,Belgium
51.2217,6.7762,2079049039847438,NodeID-NTTNYBYdkf3n5U4zrZknt1nst9rHzpuCj,134556.24847666838,Germany
51.3813,1.3862,3398503741095,NodeID-3HvUXQy1siDNUBGWMYxwMfjufh8mxLtQY,135702.87852805518,United Kingdom
51.4416,0.1487,571213340938797,NodeID-A8X5CqiZhsqSEGNUNqZifHqskMvSUJBG,137083.60665556157,United Kingdom
51.4862,-0.3083,2526748938323201,NodeID-tHkVEqdhWPdX2vJGbqDWebw2VPrho4Aq,137710.9027259557,United Kingdom
51.9942,4.2097,9793213312023,NodeID-Ges52zCMZimxqri3ia1J32mUAKyUsvcpV,134515.71911855545,Netherlands
52.2284,21.0522,11990408989870,NodeID-6na5rkzi37wtt5piHV62y11XYfN2kTsTH,166162.06930738926,Poland
52.374,4.8897,2195100621972604,NodeID-KtKf9AuKyBvofsQE7Jn4eAzAndKHu1f4M,134947.49150212834,Netherlands
52.4066,-1.5122,9841970242802,NodeID-PvZnYX1Nz8jp1GjQFixs1TAX9C9QXwrwL,140033.48201421634,United Kingdom
52.5244,13.4105,8292000000000,NodeID-xuMEd2su4X2CGiom6AmGcMSxL2H8amTf,150138.7113834851,Germany
52.6386,-1.1317,39303119813508,NodeID-BvpPGydG4inQCbkwRZ3nPMp1zAGToUTxz,139679.09106980855,United Kingdom
52.7033,5.2917,2004980680858,NodeID-4MqtiVkCYGD4TmoBhH3b6a6UTGNrPhvvW,135549.45323757094,Netherlands
53.3215,-6.3144,14583774770269434,NodeID-GR11oP3kLHf82Xbi3H2kewqoM7ydHF5ES,143977.8157671245,Ireland
53.5228,-1.1312,2431206497276,NodeID-MvfTRb81PAx9AHYxbz5xACaoG84PM7YQe,141055.9459374348,United Kingdom
54.6892,25.2798,153119455880150,NodeID-4cJyBoufFfiMShtRhcd6WGTYdvUCE3Ai4,170849.08089713487,Lithuania
54.9027,23.9096,752743626391008,NodeID-95rcDYyjGNKckKCF8PKuTyEV1wxkQvP3n,174917.905976511,Lithuania
55.9333,23.3167,8000000000000,NodeID-WRz6mTt6LCdSSvuHdqsrBYxi4hdfecTW,174838.03374338048,Lithuania
59.3294,18.0687,2155740604031700,NodeID-ELjBQTBvaEAMk7Qx7qJNJsEh2DYC4nxUn,172949.05229582422,Sweden
60.1695,24.9354,5043391254223500,NodeID-9YiwE69B2wcvXtEW986YcgQxGg9ctzmKZ,180806.07067263903,Finland
