10km,15km,20km,25km,30km
117065.79491788789,122296.01790219032,133793.8058453286,116357.66374525716,115082.58981170016
117631.16452154914,119473.64657372942,118238.20104265964,114121.70530175116,132192.93095695294
117038.45322103487,115095.38309375152,134931.64229899878,122980.74409012675,115984.97213632206
160948.48104137887,130712.33114842733,122494.51874835556,115082.58981170016,113802.07298943258
125803.59894720878,114715.20078055287,120381.27804034401,132192.93095695294,177958.48891776882
122830.46879422916,131918.9048899357,131135.67832108037,115984.97213632206,135687.6597182014
118136.86704524292,130357.52585635109,121307.78204806836,113802.07298943258,122436.58354733465
134512.0471121595,119130.59542475501,138051.31012888844,177958.48891776882,117434.53217862781
117698.30635900452,116951.03070301746,116766.33267367049,135687.6597182014,119135.58843905269
135750.6561330068,119982.14646797336,120114.45509545195,122436.58354733465,138023.28175758058
134128.71886561174,117909.92837957382,181267.4214208996,117434.53217862781,248213.90535689477
122354.64175802299,135289.89702119477,141519.10304176554,119135.58843905269,135448.72491416402
120019.12761184585,112885.24160288573,130477.03035902852,138023.28175758058,211181.21733801442
121568.73035729966,116671.41682715673,118163.296309714,261809.0022738673,163865.2456613647
121005.0825391032,192331.42531894907,119813.17230257823,135448.72491416402,262603.70010936394
139142.03094896345,139624.91950447697,139623.2147665401,211181.21733801442,168887.13234388563
115047.73765986615,119491.98501724313,269777.50530929345,163865.2456613647,141648.41885169473
119656.00488463257,114472.12669874274,136965.5391968356,267170.45335755544,169070.80691750377
195449.58399419583,116258.9868801873,215155.03056046346,168887.13234388563,135771.71860068187
143898.65529596806,135153.66675476317,166397.75697196004,141648.41885169473,163263.26154953928
120812.60811786665,291978.97029011627,267170.45335755544,169070.80691750377,256542.66939418757
116709.91897107486,132576.0580329761,171362.613839203,135771.71860068187,206561.8429106644
118662.58001678347,226712.1054207648,142372.21435807753,163263.26154953928,139321.0214597132
136066.3668027201,176470.88758560657,171551.74955324465,261191.73914622038,192905.6553347416
315516.65840277553,280043.18420797674,137296.17454706415,206561.8429106644,137828.177356523
133476.9809302858,181387.45148006908,165779.9269660143,139321.0214597132,139110.667873459
230923.2013351637,139974.98390481772,261191.73914622038,192905.6553347416,164995.7477902221
178081.9260419035,181519.0832068404,210441.19386453062,137828.177356523,140626.15670702554
287015.2607526626,188870.36685710037,147734.4921923202,139110.667873459,149598.71546998818
182894.14246400772,132990.56199781026,196507.65492169524,164995.7477902221,
143557.05527064935,175755.42863262646,138981.34893238614,140626.15670702554,
182993.61798596403,273908.81207956607,146902.78729314453,149598.71546998818,
190322.41519768615,221813.34676313325,173989.45045107524,,
133714.547119332,136669.6703556303,141879.15195997144,,
177225.525206041,207553.68163330923,158059.27173007515,,
280632.23533201055,135764.69318050923,,,
225788.30709746727,136869.30139099614,,,
137158.9169193654,169776.0506394006,,,
136865.71196798308,138722.4512958278,,,
210959.284888349,154115.5972820707,,,
137744.61323711346,,,,
138000.62314735856,,,,
170272.51060936577,,,,
170226.89212665107,,,,
140649.75815840415,,,,
154774.71750410442,,,,
