10km,15km,20km,25km,30km
3933833.3594072647,3300298.053761625,2884003.1988591836,2148688.978355064,1968999.9476971687
3861550.5603415417,3239627.1197405625,2650140.4585317727,2505686.080698455,2305298.136475362
3866386.1144615845,3141791.4670502553,2627821.6351112872,2143629.1879733875,2331975.9220426814
3855309.9320240137,4446207.937692189,2882971.0411263304,2497891.627558641,2357193.004094773
3707043.735285526,3199300.609411538,3896287.5972996415,2506450.6068604128,1954964.425227978
4057906.7006844636,2514266.7288069543,2509986.8281933186,1784371.3186192736,3097378.996083128
3767731.2981057526,2488851.656956367,2609901.236025165,2128129.8363200193,1977245.3986684736
3770166.442037312,4482898.014600131,2875790.675279944,2104607.4951118273,2372158.308891342
3853482.3486898188,3493517.9275458613,2605621.160307493,2479285.3953953795,2208810.6396925403
3846070.9512692443,2472346.761426843,3789765.3232871355,2507973.518314226,3064517.2685239366
3722708.086674118,3037451.0588280624,2557494.358274381,2534445.054264552,1993215.6806584545
4828235.463423799,3308144.9520919137,2838730.5798188536,2088439.3626057804,3031889.8029951365
3879042.7088245787,3038516.5327224694,2505190.6208671215,3309250.914381344,3011447.4129234
3802088.085127387,3373765.692124537,2836377.0960139716,2114252.9699711106,1992854.650067308
3696186.8648650427,3119588.4854962737,2879782.4998945612,2550612.2312846784,1947630.9960075447
5155993.807693415,3094378.8058112254,2514089.8508797796,2376910.3515902027,2051965.8676655008
3757563.6425428884,3372567.650269701,2873958.164022327,3288852.035203845,3009150.77448176
2851600.3622451033,4377312.144925448,2886650.264217089,2132635.889813861,2962656.665748637
2832672.57125811,2936190.0215980485,2507941.559573655,3244534.2226986145,2998418.2430486972
2829670.4760268554,3086162.763459776,2889912.2548303204,3234754.872212124,1955767.980977091
5169749.374516276,3074574.7810706967,2863827.138804713,2131580.4464338426,1972818.0279201982
2824491.64267273,3077271.343181603,2873355.995065129,2082513.951012063,2193007.30640243
2828246.191590049,3364159.467485046,2019649.7587207847,2198013.8519729837,3009029.2497035484
4075118.188828358,3069581.490279314,2491469.909954602,3234693.1833135644,1916215.8797119702
2813853.928481864,4270443.527264059,2459146.8857399104,3186723.6237958223,3004547.9450368006
2817789.564936692,3002373.5310452646,2842851.4630805603,3221404.6908253445,1847893.6394727472
3578666.0098100756,3344792.505865742,2874815.8586289953,2092566.2390368187,3160986.733145199
3889961.8702420783,2929699.076911923,2484014.4156325795,2111211.3975872225,1900497.2290259395
3579499.8645295934,3321229.96922251,2903364.164536803,2363566.1071411865,2269475.909216128
3973352.5504535264,3367213.92370556,2893973.955798294,3234515.0870251283,3161465.745582696
3972673.195817533,2987720.4337618896,2442118.3842182416,2049414.9883999666,2047675.66948196
3668655.750500215,2950465.1478587184,2897720.3380550654,3227510.518613034,1899382.874499755
3641340.2780802776,3349946.4909947594,3730422.8589966064,1963333.036811932,3133081.678341308
3971541.553878189,3362032.7061929074,2475558.3274484756,3396153.9239729038,1873789.0478541215
5020471.247475351,2944404.016994017,2876479.7912803623,2032923.8322900645,1955505.7892242742
3472973.2658016905,3384737.6580966357,2921723.521302477,2429409.735284856,1903238.600936475
3632873.818982176,2943238.288219833,2721348.6034357413,3386406.5625289325,3141613.878766241
3965047.6168924463,3376442.1420485815,3805264.1330742994,2200611.033555213,1645776.5894998584
3619849.0273769177,3388614.335580054,2479797.479078035,2032881.0323733434,1928128.9551282255
3622713.153427075,3357934.8437160896,3711802.6226927345,3357342.1325456607,3209754.3421161156
3613802.339220117,3369119.7483399846,3740566.9625758743,2004531.3900526364,1593590.2184838643
3961197.2920184466,2348763.595960872,2485465.791209655,2095210.3096300482,2195396.342579605
3613661.1271176958,2917175.2159582525,2433644.1713672886,2037409.3027437099,1533363.4351557463
3946800.1006855457,2878592.325042269,2550953.3112706393,3365775.4830534454,1915073.8117870544
4969749.844261312,3356805.828487174,3714252.998623257,1732261.2682749873,1907001.329338762
3537946.115369002,3385657.409594895,3664332.1463269694,2064752.4648348133,3024139.9251411883
3921960.566717254,3333422.3302791053,3725968.4951854604,3423010.60836687,2944124.5386561523
3460468.778595893,2915226.7306987997,2451381.5768638924,2057554.6047239285,1898016.8602897176
3913435.922533794,3370900.251494627,2456239.2331966935,1696442.0087242334,1897549.6797121041
3962268.86801066,2908166.109738988,2711478.3474128903,2361891.4654596588,2991243.118839391
3522086.750777165,3393512.70353374,3713520.9857754624,1628894.2741010084,1491409.5752057757
3481509.6864502584,3382470.1539678643,2398313.4172837776,2050569.6164220453,1832580.122458875
3943439.1120185973,2849838.271390547,3703416.6586889154,2041757.7989219062,1924756.8903231886
3957528.013275837,3398014.1110451217,2185214.765437062,3244135.5460434337,1570643.4965319387
3951168.5406759297,4165792.569459286,3919195.191590197,3165743.4100375916,2966658.3304617084
3474295.772398752,2897937.9172873064,2380437.4516891204,2033422.061455988,2260896.945506288
3973313.458288587,3373037.2992602563,2809658.214922945,2033672.2988426453,2993318.7134617288
3980802.9963974818,3424713.285736037,3880198.692921241,3210755.9994361913,1802840.2845999342
3471076.992578576,3186852.4768534317,2534826.9259740245,1584556.207080511,2264496.3317838917
3472487.9078557584,4239172.018697772,2380312.8110118983,1960191.821959982,2971290.214008401
3970918.3652858036,2901903.312262064,3875282.562380002,1960470.4728744724,2229782.440473903
3985302.991224034,4208651.976415597,3859676.2920612865,2070093.6166797725,2232556.4570178017
3949256.6050301003,4182376.2910304638,2350646.251219815,1672161.262936579,1978820.5488356363
3459557.539023904,2905398.8844837416,2350366.4818263473,3185590.3670597095,1751658.9174280385
3962284.7355352095,2842421.054792269,2431587.202922211,2419885.0856511737,1792488.324229285
2706727.102094044,3001468.117798349,2391728.1331487526,3211452.025200921,1574015.214476879
3444999.2102976735,4154057.5195824034,3857892.806888007,1929829.444965893,1847797.8756521936
3960332.1639303532,4157416.642341729,1946388.2289197883,2423801.7450159793,2213910.422814007
3404864.135188335,4176441.3882886777,2405922.492474414,3189073.026773604,1785437.454802506
3947742.5076511367,2865222.9803392715,2384934.811709827,2395651.6496208985,1854943.356425287
3981689.454018959,2875146.1685967054,3838211.7372175604,2390859.8964346936,1822986.6211685988
3975105.4804969192,3198359.389202286,2397784.8498240025,2111636.619571323,1519424.1348458005
3920638.3828097386,4180924.096999918,1912936.3264244709,1858678.5714121968,2888532.4098891052
3442399.73054641,2802433.5052878433,2710569.808071365,1919986.3417172325,2256955.501801503
3964213.055651969,4194433.775903316,1834464.2431304806,1675618.547135866,2214540.030822801
3925151.124623511,2496941.3980336827,2390026.9807123756,1981807.034403978,1686401.461104654
3400948.78790045,2798673.40181847,2380517.0464977296,2371539.066430849,2023844.9121643836
3942069.7336227237,4363591.176032706,3714204.071274122,1911993.5240902102,2203444.3748038295
3434533.2187051503,2782318.29391977,3637587.332071618,1987807.181191041,1563677.4148885757
3926991.6647014236,3313030.927036229,2372138.8982116794,1954613.689795223,1815066.6103583057
3990967.676731884,4342777.78408332,2372865.274491703,1623216.9855807424,1991274.655663346
3960525.1665439755,2981520.87103818,3679391.2366250777,3106703.1571197635,1519675.0426741356
3977834.992068402,2784334.999240072,1784582.9999519477,2415763.837770245,1772443.4169988907
3376439.1740660816,4337201.080888186,2302212.2835817705,2372233.2755367644,2217692.1139262747
3996321.496236997,4330506.778097304,2302661.743122817,1792729.9394980008,1771111.3511875493
4818095.113877466,2748865.4184624986,2393558.696868307,2184955.5310767815,1819238.237073447
3982096.3227133686,2748604.3411889165,1885083.6411942337,2359638.747351512,1764692.9642596613
3986475.558689211,2855073.324550209,3652736.893496189,1661623.058804519,1983394.3409265827
3422638.529399963,2797248.74428006,2796671.0202669925,1951910.3731218919,1760298.165374569
3966626.1394362426,4318835.651861851,3677438.6591580817,2147707.1592648216,1845026.9900849354
4026383.028903179,2254178.189234854,3645535.8908310994,1617671.5900583079,1766387.6916514968
3748179.529610892,2795932.662445775,2268362.0658488288,1897542.33973781,1510534.363120764
5036687.086549026,2819374.6894356483,2801083.5662043,1616705.7323891455,1791304.6105915438
3428320.7078555888,2789047.716757465,3654191.6461512772,2391059.1685340093,1787378.7171512786
5023833.924048521,4283854.6256935,2767446.562803525,1895915.1520248472,1898712.0041692245
4978761.124866577,2809449.0525674587,2765908.6910834364,1948971.8573086963,1757144.9529880052
3430225.3008835874,2219658.464360872,2445702.3420260083,1890052.511274862,1991291.8736128442
3362763.4928126554,3180784.170980379,2074865.3026941242,2135635.0788390287,2278676.274561496
3538209.609250925,2159604.3983123354,2797869.5947118886,1885019.7503236714,2219912.81604565
3359312.5794239654,2799862.2332780086,2257133.3943670318,1976477.6526835293,1962177.342113327
4800416.465647893,2787852.0948723503,2774359.0136443824,1890583.6863999728,2242217.931441558
4847517.444615884,4198880.253764511,1869400.7836137558,1612231.0057306155,1509803.5919795048
4980190.855396433,4088305.1610236005,2315706.3802685733,1920807.121007361,2227662.1541320668
