10km,15km,20km,25km,30km
4611237.534534652,3511882.4446001644,3141961.0153747546,2513995.44331907,2274924.1577728
4797619.411553229,3449663.0517987898,3084185.784681865,2494104.423126873,3697150.488720087
4803684.002151366,3445846.366124265,3123095.012146926,2098463.6459324807,1838166.46040164
5648043.61943208,3469958.5608445853,4011672.2721453854,2483538.3525778386,3883021.6181308473
4778983.668840048,3507201.9841674934,1706580.4206581947,2263647.1766260173,2300594.119398572
4785080.591387414,3385563.6962590064,2877307.922349656,2591385.922244725,1809516.057282305
4795203.655133877,3203925.921010312,2693035.303871176,2075246.408908811,2292863.898504454
4764178.344109722,4216525.079034936,1706120.928832312,2514416.6762010944,1820847.985976492
4570453.800314034,3460913.315706335,3477787.187549237,4002680.411156213,2296815.3973641135
4608130.51110577,3394741.7725760755,1698568.2651814017,2076370.1551631333,2235310.0881700963
4772263.201589456,3438997.4152000784,3003351.6443381067,2077040.4708528132,1803702.4893751272
4647825.416752004,4376230.484603645,3593382.136096637,4200136.432108375,2288820.676759304
3005000.6221999833,1851402.6235728068,2816831.2073251535,2541879.719186678,2222863.293357687
4597016.451650704,3129106.8730159663,3066194.747242078,2039629.0129075719,1796795.838254793
4749613.015594731,2942650.025150723,3043663.9767341204,2533097.325530589,1818740.1123782876
4558208.037138538,1851004.9818532448,2554409.4069394097,2056901.7087671668,2267381.4552476644
3233857.8445713394,3794841.3086728966,2572033.387384875,2529949.8721260186,2198722.125945773
5262804.0516808005,1842772.7932564819,2945201.717812225,2472256.920889732,1934144.7653400637
4590008.672163562,3307050.5675394353,1622865.9625900795,2040977.852389371,1758660.2055980992
4633945.469428131,3922040.419204185,1681393.421278631,2520926.783213244,2308772.525372335
4756779.236919856,3067897.432381959,2935689.634269712,2459694.618177244,2246945.613389031
4670744.1504448,3375240.6071381182,1671969.0744844836,2450474.542360484,2222374.9181862455
4596393.203405561,3353480.375102786,1681542.4864788728,2027555.7178083279,3633406.5919904686
4583064.214906865,2775449.2706163013,4766156.372331821,2042072.2392141107,3703202.50795935
4545649.915206619,2792346.0617685067,2547168.6750953784,2497729.383640988,3790064.085551081
4572156.510899221,3231965.167918811,2931537.4802891794,2425003.9882400953,1831572.6467723902
4643557.607934418,1746915.6740278348,2926240.272164877,2162744.611420774,2252769.1707664547
4665498.120116129,1824262.0071568121,2907722.72993614,1985794.0722405368,3722995.873822528
4518274.588751584,3237567.405469007,2922146.5114469607,2542347.6608735835,3736245.8628829746
3974558.4211149714,1813976.0334761667,2494414.7687447066,2474092.102417324,3764401.1403604513
5432773.894660708,1824460.7157455147,2914343.0721045937,2526644.6478853445,1998421.8598073854
4618595.302052558,5170834.945321386,2688344.484635731,2456962.75049736,3859270.3190466277
4509264.724550044,2767581.650725241,3009545.6439178875,3968101.823851012,1897856.239552817
4577291.082749594,3217017.5466688033,2468728.503761789,4038663.473824439,2162891.521014479
5600888.219912019,3227189.473553517,2936524.9084180025,4126408.6832409273,1376346.8047476222
2300655.9717972917,3206289.562763765,4525223.67700441,2064338.9057112623,3659413.8702529776
4130489.0498032332,3220218.3253496005,2454888.227610519,2482339.0447841473,3735137.2389723947
4008437.496653491,2714137.188168517,2463222.633514484,4024248.1145131886,1832461.3909766355
2300832.082370492,3214072.796741926,4756661.587290992,4061306.715191872,1756369.6280183292
4876585.551175893,2939832.551901921,2951840.0911344723,4099583.266863076,2197727.9833902656
2290120.189009234,3317078.1594225727,2410420.0435779593,2209252.7549410407,2250883.0193800423
4404098.962486241,2687048.4133112365,2941353.996926577,4170612.5621766415,3890209.9271979593
2284879.4802264255,3234968.0298209833,2441124.194532137,2122117.316611122,3879892.7926442344
5028782.062179118,4909959.446463115,2947032.707019903,2393995.3177555855,2024308.1010251702
4065262.3797494126,2674869.5633679065,2868252.302681534,1471934.170813143,3869586.0549220354
4504786.907908431,2682447.6723526097,2389197.591926172,3959758.201214161,1957180.3836214943
4458528.910329901,5157726.715479909,2408967.4651755914,4123564.060541982,2215952.301728569
3815983.3967061834,3253167.815598052,2928546.8709316826,4069564.7638256713,2157817.5313431304
3847918.044292574,2603981.426064925,2862158.2541587087,2065294.6494774392,2143551.9085403276
4251219.563888277,3241373.729321363,2431570.96624041,1975322.2796501433,2233975.376024655
2263787.3720930833,2659198.6624203036,2914200.828593872,2422717.2096785484,2201639.1793586235
2267695.4025641773,3248001.2263423856,2828126.2002780535,2480306.6615491943,2301412.3575566113
3801285.4424715606,3244957.6117788493,2381321.8921488672,4147771.590602317,2222119.1515663033
4284770.300411627,3163772.8487181417,2368145.399665507,4166562.671212823,1089049.8072334174
2254239.709508309,2582485.073495408,2398456.333730187,2219706.8689415604,3769668.041037823
2268271.224785039,2601001.452927662,2349763.246302944,4145960.802902361,2126106.2729088524
6705525.123434514,2639045.04485075,2902705.8910529222,2164318.65449937,3123758.4959714008
3786659.0991407703,3228170.732609389,2800759.023511237,2433265.5868229754,3864633.9036650257
4239931.340434998,3156832.725919734,2565866.649849996,2387532.9809800256,1695127.768812818
4278736.054291656,2648827.205357302,2334148.8679150403,2371355.4871690082,2212541.2367336955
4271250.257879743,2651046.8884293414,2945887.5999293793,2454696.120382595,2214003.8583267336
4279019.971933662,3213042.975645744,2879562.8735700073,2426575.7477721805,2181212.0991387162
4238567.173419368,3118990.006720992,2928704.2686977526,2360573.5844469625,1065980.9295070258
