10km,15km,20km,25km,30km
183694.76451616242,330888.0889895385,137869.8871777624,140891.04732849775,132803.85934280828
350622.07567666116,330181.7413956968,137467.16228756655,128522.13432202957,127676.90404851505
349872.6684670816,172351.14640578142,319273.5592937574,133131.97046566455,128044.20708044301
174802.69566969745,162714.6307984327,145958.56014956147,127941.21918725359,129007.0524576449
164539.4942280567,157244.09258830597,142755.64662680973,128446.73269513357,127550.84883585847
158532.14911202952,150371.04822665136,147437.54595463688,129243.04466136965,127977.58012127569
151105.91938955183,149916.7715503441,134571.46338063333,127870.1891178148,129362.35484084896
150602.0553251235,338374.52128502785,139161.52182201538,128388.95355564394,130713.4766904523
357982.2534933626,159630.13574371458,134017.09213947048,129651.69558789469,131321.98106692155
161259.10003347616,155876.81721226548,134605.35583505736,131041.16330735873,128020.40927475799
157133.1816551455,161199.56011252233,135288.30840625847,131670.52263986197,157246.09688075184
162948.13000297121,146768.5781485063,133975.01654741995,128393.6716145463,128356.185807096
147243.8647748547,151006.89869942857,134556.24847666838,158615.68972036545,133502.75260353473
151227.6781561372,146313.21704178434,135702.87852805518,128786.6914221565,142539.57857459446
146941.586340778,147284.87041697354,137083.60665556157,133982.46152033718,133132.27689442353
148265.1008572814,147328.44976422453,137710.9027259557,143417.97728047942,128881.72298029403
147620.90548250312,146349.95286216025,134515.71911855545,133619.0950266144,137153.74377220267
147088.19614210413,147156.91161009364,166162.06930738926,129357.09857727757,134395.5659290534
148103.42663527632,147648.90874151952,134947.49150212834,137935.73203015205,161159.91540764534
147847.7023888371,148938.93901052093,140033.48201421634,134968.4629214343,165456.91046320696
148973.28545668544,149531.28666640562,150138.7113834851,162856.25067452973,165437.88518317102
149571.70777046343,146581.72891074396,139679.09106980855,167074.01321331123,164001.89772559048
149308.77732473327,181323.87182768737,135549.45323757094,167054.7668479641,170906.7301740611
149068.40321847927,147031.7795167102,143977.8157671245,165545.89232212212,
147173.65747185206,147019.12690892752,141055.9459374348,172815.47291956597,
184211.48408755258,151697.58717083465,170849.08089713487,,
147730.8995567695,163842.1283309686,174917.905976511,,
147688.5427924164,151351.30043253585,174838.03374338048,,
151979.2657570078,147697.2181143986,172949.05229582422,,
165691.131952695,155291.24362940632,180806.07067263903,,
151640.18922020015,152686.16506758664,,,
148468.43975253307,186460.41413411222,,,
156231.74563093975,190269.44360457006,,,
153153.42411563644,189982.91217471755,,,
189890.83206901926,187045.96249429122,,,
193526.3182464615,195869.54957484995,,,
193188.005180728,,,,
189897.53224904512,,,,
199496.72920359173,,,,
