uuid,latitude,longitude,stake_weight
16Uiu2HAkupdfqomZwFpS8Zqxu7sEpAnbJ35JRB6i47U4ncoTQhT9,51.1,-114.1,0.5
16Uiu2HAmQ8pNAuqwYw9zSFVcAXE4eV6WZnz9Vq672ura2WZZ9Pgh,37.8,-79.4,0.55
16Uiu2HAm1h7ZUU5AH7PJVEt3VTTiiXbNypQ13cVWzGU5fr7qxydv,52.4,4.9,61
16Uiu2HAmLf6uV1TDKmTTdMtdnveg5UaCJHGNn9icBp2Z7qKdiMEV,50.1,8.7,1
16Uiu2HAmGW98PLqCyvaBsa8na2H7d1u2FHQY2TyX8XqJ7Le3iP61,50.1,8.7,0.9
16Uiu2HAmCgNR5GFuKxVHapqd91pFnQbK5dZdmsFBKBNXbaJUaQvV,28.7,77.2,1
16Uiu2HAm3qkzgnQgh51B63gB8whZRWs4w76WpPLPWnBzoSY3VdJT,47.2,8,1
16Uiu2HAmJoPiYHzRicz2EA6EpeWi5WfbgvCHB6s1DrEow6wDbKWF,48.1,16.3,1.76
16Uiu2HAm1yDZBPCz9eFtHr3YotfhFEHPft6PhzFiaXi9Rzcbzr5h,23.1,113.3,2
16Uiu2HAmMPZJ2krmvREaZbeuJgG84KJwBX8wTdM1jVTwt1PgY5Z9,59.3,18.1,6.45
16Uiu2HAm4nKY332FgMjFRhDzFAVp4N9mNbZ7gLkP59sMZvhuKstc,37.5,-122,1
16Uiu2HAmTxDeCXGrgWPfyDpV41qDCcu4m1DmmDFWQnhyaEMx7hoc,52.7,4.8,1
16Uiu2HAm1duEjhXyn9zDsNXgQCUiizWXhQVA4Tn5rrqrEPK3n3DB,36.2,-86.8,0.88
16Uiu2HAkyvEXbZDCqrQeYgNBgeEod6iCQqWwJ9Yvn99ZwVCUaDBk,26.5,-80.1,1
16Uiu2HAmLtyvJF9JYYq38jHXLkQ8UzPRyTpkCzHZ5e5ch5jn11H6,52.4,13.1,1
16Uiu2HAmJk2kxj3kJpgNyMGQSAcqcrwmynq5dUZNnusEpu1Hp7cf,49.9,14.3,1
16Uiu2HAmK1zzzGtntZgSBe7MGwme7cV6d9sAmaBxgaarM9UC6XDS,32.7,-117.2,0.63
16Uiu2HAmSkPSNEFDtafsDKasJQGdMDsEZA3JXeXqCH3Q4poSqVnH,60.2,24.9,1
16Uiu2HAmLEetmEksE8cqdmCnwVcSqYTSCcnD9CK2Fw4htqSn31oi,33.4,-112.1,0.56
16Uiu2HAmPSoEYWkQ44NvtXgxFJjYUxb11nH6ZGXV58z3uA7tFKDC,51.5,-0.1,0.41
16Uiu2HAkwcSRBVyGbAsgxGJr4Xh3hwrjsVVKsGfTzzrykP2qAobW,35.9,14.5,61
