server_id,server_latitude,server_longitude,stake_weight,uuid,distance_km
27,45.464,9.1916,3000000000000000,NodeID-3Kw1H4pXQpmik4wfkjeMxdhrUxAkdq753,0.16713609641440588
28,46.0556,14.5083,3586819305899,NodeID-DY2Tk5ZqUir1NpSiTwXVGdETCGGEV8wHe,82.73577717942813
29,50.1167,8.6833,14800779245172568,NodeID-NJaSwZPtuiN9TxaFLVF2sk3eNNHGm2UC9,4.122422924672918
30,37.5483,-121.9875,891058082613186,"NodeID-8TArWpFgH3sazEH8qP4gUjtGtFMvjw1aR,NodeID-56PBmfRBSmT2sYsPLiBPKVq2fQUVGEg9g,NodeID-A49YH2FmGteFpSV46b9WDxZWDEebAnH4q",26.178762732505646
32,52.23,21.0108,11990408989870,NodeID-6na5rkzi37wtt5piHV62y11XYfN2kTsTH,2.825256231278758
35,47.369,8.538,152434197683868,"NodeID-33miCHPn9eN8H9Yi4bCzEaL9Sc5BLeKMg,NodeID-PqL7ZLMh4fFQNxKrKt9uWuZKa3UGsdcdQ,NodeID-FSqzWFLa9mvCV5WHBraVNUekg621YyMTE",20.785209498305164
36,3.1333,101.6833,7848313892424805,"NodeID-Mss1z2VZYsNSa4LyqD99vXeNd8h3hUMDA,NodeID-7843EeyboY1mZSmdzjqdJodxHycNn7Kv2",328.65752868948937
37,34.0522,-118.2428,289187880685604,NodeID-6xjnXHhLrLDafewh5t69uRqtHea75RSGv,0.08291539059700509
42,-33.9767,18.4244,3439845493773986,NodeID-DAtCoXfLT6Y83dgJ7FmQg8eR53hz37J79,5.660911777977078
45,60.21,24.66,5043391254223500,NodeID-9YiwE69B2wcvXtEW986YcgQxGg9ctzmKZ,15.875757861029603
47,47.5,19.05,6669100000000,NodeID-BU3rNw3cZbX2Aw1CHwnupAh82jxgrtEmC,0.7428059839459036
52,45.5081,-73.555,7648023217242918,"NodeID-PY5kT7pHUEZPmh2QK5k6w3H6pKhFGUfq1,NodeID-N8tijV4qwWMep4STmLzWJEkqbg6bSdCmn,NodeID-E8CBDCxz5E7T2yVUeKEzR3VuJytqobJa9,NodeID-zbFM8qH7MnQ8uo6rm4tZaq6vhbF4cpgt",30.216934348862292
53,49.2505,-123.1119,8965079696538,NodeID-4WGNJ4vv6bH3FLCJgovqn3D7RCJ8rKBDR,0.5444345934013549
54,50.69,3.1817,921724515059144,"NodeID-4ETxBbffoA8cU54eMDVwQM5Ue6FEYu4s5,NodeID-BNErXKhvFS9jsYTmr8KkaX13FZdTST1t3",54.14862955807901
57,-6.1333,106.75,5400000000000000,NodeID-4CL8XnuYqfVVLxRre5C5A1dpRv3cZN2Zs,13.865581316896948
63,34.0442,-5.0019,53883424182134,NodeID-8WvUBZyrk6XyF7pvcg3NJZk8jtJGi1W9G,302.1913675986986
66,41.0128,28.9744,1936582925681289,"NodeID-GMoxCucPFt2LPSpTh5hPbDPAp71fiV648,NodeID-6UMb71Emubx62ZEsNBPhhuEzZdqgGpKZY,NodeID-BjbQ5CSfFif4Xt8VCL9iTf7g3gyfg7NC1",104.94259000568125
68,39.9522,-75.1642,1213874557168499,"NodeID-KK6ifknXca7VGbqB3d5ccUzKta1zJiVM7,NodeID-AyLHcoNRCCvEBe5zMH2J4xvDVhZqjMB4k,NodeID-4eaj7e8pXaR1TSuCF5n7tKDCHPPemZGky,NodeID-E5zrTRxiesQtX5fmu3uP6uWS6FyTW4ziH",39.90341117178363
72,22.3,114.1667,1973971160660952,NodeID-QKGoUvqcgormCoMj6yPw9isY7DX9H4mdd,2.549456930537915
77,53.48,-2.24,2431206497276,NodeID-MvfTRb81PAx9AHYxbz5xACaoG84PM7YQe,73.48863997815553
80,39.9611,-82.9989,12387733623058154,NodeID-M96ypSznK7ECF4EGd5KfxcxCiboyAZnAQ,0.01401010252713487
82,45.5236,-122.675,3908003396432585,"NodeID-Mm8qGQPb5tHF96ENH1MuYsYwhA5Nj2DHj,NodeID-GjhswJNtzhnY7WhsCnCQ6qttN1RFjzubp,NodeID-LMaV6Nzx3kncqBXSvwApabEvjcrpWc7uY",120.84056120775222
86,40.75,-111.8833,20839587575651,"NodeID-HkpgaE4YB9Z7KmueQ2mz2cZFyfttvo6GP,NodeID-Fk1hBt9ZyaKiTPjq7MLyvL7Kgd2YMH4ie",145.14402203853666
