server_id,server_latitude,server_longitude,stake_weight,uuid,distance_km
57,-6.1333,106.75,6,8587b338-ff61-4ae8-a0af-78ba44f13e1f,373.6280670449973
59,-43.5,172.6,8,336d3eb0-c308-4437-8017-5a7a038298c8,13.182003697667726
64,13.75,100.4833,12,c58288e3-8d93-45d6-8f3a-264eeb1b7eff,353.3086145592464
65,21.0409,105.7981,15,d40e7449-f3e9-435c-88c0-0847d1b4f0b5,523.4721828804569
66,41.0128,28.9744,47,7193ab21-b441-4d8d-a8a8-b5d16bf94d6c,110.92044225235516
70,-33.0333,-71.5417,6,f55dbe5c-5a02-4381-9218-7f149872290d,594.5139238416064
72,22.3,114.1667,74,032d381f-d019-445f-9e88-a483ec08e166,2.549456930537915
74,10.0,-84.1167,2,b1ad93ab-5a10-47bf-928a-d3aa58d01ba2,8.26968011965405
76,64.1333,-21.9333,2,2529072c-dd45-4a6a-a80f-c1d48abc9298,1.8547378671331767
83,44.65,-63.6,2,1cc42ae3-7d30-40cd-9f43-f2ca59a16a66,1.999621917670201
84,30.25,120.1667,83,19d947bd-190a-4e47-b06e-430e6e89d47d,190.1335088258342
86,40.75,-111.8833,94,dc11ae6e-f393-40d5-a64a-7caa7d556b4b,186.42871764841593
87,32.0833,34.8833,28,5b51c1c5-2b8c-4109-b62e-ea81b390af14,31.244278783454806
107,-33.8683,151.2086,58,45705ff6-db3b-4064-a255-cb18ac2d8420,51.98655905211824
111,18.5236,73.8478,22,2afec48a-8620-436e-afd3-53c5e621cfed,118.54074811521447
113,37.5665,126.978,88,fb58e687-0253-4914-aeff-2a1b0a8b5805,182.24227652420024
115,-6.8,39.2833,3,e656f9ff-d27f-4f7c-9a38-9dadd0ebdf58,2401.735885453427
116,24.6333,46.7167,1,49814144-87e1-4d9a-835c-0f29bfd7f19a,541.2784994788107
125,-23.55,-46.6333,19,c6588eeb-1f7d-4c7d-89c2-379dfc19ca66,271.14964958319587
133,24.95,55.3333,8,51d81026-b610-4949-91a5-87254ac75ae6,118.56439031339835
148,23.7,90.375,1,b523a56d-8626-40f2-9242-0b44c5d7a6ee,295.09411072993584
151,21.3,-157.8167,5,9e688965-a847-4972-8b5b-2e83559716e6,58.86902605324397
166,52.1333,-106.6833,13,64689724-6691-4ae0-942d-039609e3b347,612.693021713824
169,-31.9522,115.8589,11,1fc50138-2df4-438a-8fb1-d3c39ef8c7a7,0.23586975497041482
174,49.8333,73.1667,4,b2082bbd-a1ca-41fe-9f08-6aa9a0919f7f,673.6005479808323
175,-26.2044,28.0456,9,a4a7671b-f74b-4594-b759-c53e97edde3e,0.3071502197801391
176,55.0167,82.9333,5,d29450a1-ed64-4588-9e38-75ca02b9cb3e,782.6785783136334
177,20.667,-103.35,10,c6526a65-2e5b-42ee-8674-0446b2271093,504.92940031030446
194,55.7903,49.1347,16,7e3a4440-e0a9-4b7f-8338-ee403b93dd7f,401.9354575739125
220,15.7703,-86.7919,2,99a6510a-6152-4a6e-9783-6008ffb875fc,650.9861155685144
222,12.9716,77.5946,2,369fe626-82fc-4b87-9258-c2e54b129bbe,182.10768226928732
224,43.1737,132.0065,1,d1681efa-13b1-41e7-a36e-6b517f9b5c6e,636.5292497575895
232,10.8231,106.6297,12,e41adb0b-026b-4603-a987-c83267ddc4e0,0.015586123590746685
238,-15.7942,-47.8822,10,2d7b218b-e375-4c19-b7ef-49b34b08b6b5,305.8879838129868
242,10.4806,-66.9036,4,e375ee06-2cde-46a6-b454-c046b051f3f9,421.75924868089305
245,41.7141,44.8271,7,a6b10e51-94a4-47a6-b95e-bbbbf81618f1,433.12094104082826
246,35.8989,14.5146,5,7528b361-f0a3-49ea-930d-fd45261b2903,4.60564329406438
261,40.7675,114.8863,29,6423b21a-6cb5-49bb-aa39-6facd89ca22d,526.8689940094569
