latitude,longitude,stake_weight,uuid,GDI,country,0.9linear_weight,0.8linear_weight,0.7linear_weight,0.6linear_weight,0.5linear_weight,0.9exponential_weight,0.8exponential_weight,0.7exponential_weight,0.6exponential_weight,0.5exponential_weight
-34.9215,-57.9545,0.0011106997408367272,84439d55-63eb-4561-a3ae-8c3fbb715765,0.0030317943034142932,Argentina,0.0013028091970944838,0.0014949186533522404,0.001687028109609997,0.0018791375658677536,0.00207124702212551,0.0012280243454722427,0.0013577420950296344,0.001501162092927847,0.0016597317248194534,0.0018350512655161768
-34.9033,-56.1882,0.00259163272861903,546c6b1a-caf7-417f-be97-e7bf8bb8915d,0.0030252584932412706,Uruguay,0.002634995305081254,0.002678357881543478,0.0027217204580057023,0.0027650830344679266,0.0028084456109301503,0.0026320392364944894,0.0026730757278782833,0.002714752024931287,0.0027570781029530585,0.0028000640927694437
-34.6131,-58.3772,0.00259163272861903,59aa025b-9ee1-44bb-8d94-e2bc57bde76d,0.0030234058726922755,Argentina,0.0026348100430263546,0.002677987357433679,0.0027211646718410037,0.0027643419862483283,0.002807519300655653,0.00263187801013159,0.0026727482577769426,0.0027142531766100033,0.0027564026223947983,0.002799206603944818
-34.4775,150.4204,0.00018511662347278786,0a1e4a48-c17a-496b-b33d-03e8187252e1,0.003874074790222766,Australia,0.0005540124401477856,0.0009229082568227834,0.0012918040734977816,0.0016606998901727793,0.002029595706847777,0.0002509098311633224,0.00034008692570854646,0.00046095888910229854,0.0006247905502386839,0.0008468504261362141
-33.9258,18.4232,0.00037023324694557573,c6554062-6617-48dd-b952-b1e4d8f2899b,0.002708865571928148,South Africa,0.0006040964794438329,0.0008379597119420901,0.0010718229444403476,0.0013056861769386047,0.0015395494094368619,0.0004517587984097815,0.0005512363182516947,0.0006726188391444608,0.0008207298535897057,0.0010014549896196245
-33.9092,151.194,0.010551647537948908,4df7a4dc-4806-4e27-a0b9-258aafba8145,0.003946716645308198,Australia,0.009891154448684839,0.009230661359420765,0.008570168270156695,0.007909675180892625,0.0072491820916285536,0.00956338947326787,0.008667690793165836,0.007855882466769366,0.007120107397042166,0.006453244375773184
-33.7338,18.9752,0.00037023324694557573,b7665af9-bee2-47ef-958e-1b5c8dbc86ca,0.002718459531657254,South Africa,0.0006050558754167435,0.0008398785038879113,0.0010747011323590794,0.0013095237608302473,0.001544346389301415,0.0004519185429026108,0.0005516262278013102,0.0006733326170771408,0.0008218913285306164,0.0010032268432890012
-33.4569,-70.6483,0.0009255831173639393,983445e3-278a-41cc-8796-1b595a9b414f,0.0029797890788332403,Chile,0.0011310037135108693,0.0013364243096577995,0.0015418449058047297,0.0017472655019516597,0.00195268609809859,0.001040381053109666,0.0011694171116174116,0.001314457214360149,0.001477486305971476,0.0016607355191822363
-32.9468,-60.6393,0.00018511662347278786,21e800a6-3e79-4885-ba00-ad3941853817,0.002967735603469643,Argentina,0.00046337852147247335,0.0007416404194721588,0.0010199023174718444,0.00129816421547153,0.0015764261134712156,0.00024431121235201535,0.0003224344057338842,0.0004255389877529108,0.0005616132362972024,0.0007411998342378908
-31.9522,115.8614,0.0020362828582006663,247ed300-253e-4678-b896-a8922a5c9174,0.0031569467078649913,Australia,0.002148349243167099,0.0022604156281335313,0.002372482013099964,0.0024845483980663963,0.002596614783032829,0.002127556096745945,0.0022229205174376493,0.002322559501205634,0.002426664648747103,0.0025354361489650077
-31.77,-52.341,0.00018511662347278786,dc1cb6c1-0d73-481a-b2c5-e55cecc2e085,0.0028141047819303052,Brazil,0.00044801543931853957,0.0007109142551642913,0.0009738130710100431,0.001236711886855795,0.0014996107027015464,0.00024301602035213573,0.00031902475877035964,0.00041880694351347425,0.0005497982558192425,0.0007217600538472354
-27.5535,152.9289,0.003517215845982969,6c244975-46e9-4de2-a417-2c8e55d01243,0.0038498266329853714,Australia,0.0035504769246832092,0.0035837380033834497,0.0036169990820836898,0.0036502601607839302,0.0036835212394841703,0.003549140860622473,0.0035813556517796446,0.0036138628496938468,0.003646665108478563,0.0036797651063380944
-26.8185,153.0654,0.00018511662347278786,37fd1840-675a-4bc7-aa33-fb4961ec667f,0.0038365558948986107,Australia,0.00055026055061537,0.0009154044777579523,0.0012805484049005348,0.0016456923320431172,0.002010836259185699,0.0002506657692926894,0.0003394256372893074,0.00045961506261641983,0.0006223631410724618,0.0008427397421673258
-26.2023,28.0436,0.0016660496112550908,5f2e2368-97c1-479d-9111-b6a44dd0b393,0.0024118465130700357,South Africa,0.0017406293014365852,0.0018152089916180798,0.0018897886817995744,0.0019643683719810685,0.0020389480621625634,0.0017288372176116312,0.0017939910701383647,0.0018616003444109,0.001931757576721658,0.0020045587907335815
-25.2079,-57.532,0.00018511662347278786,ecd93f1a-0bfb-4c0e-8117-65cb2709c4d3,0.002701780362133886,Paraguay,0.0004367829973388976,0.0006884493712050073,0.0009401157450711174,0.0011917821189372272,0.0014434484928033367,0.00024202815056920812,0.00031643633385827286,0.000413720276547052,0.0005409128121893587,0.0007072089210433583
-24.7859,-65.4117,0.00018511662347278786,45ec3c41-42eb-41e0-8369-3e9c36f8336f,0.00272090388556817,Argentina,0.000438695349682326,0.0006922740758918642,0.0009458528021014025,0.0011994315283109407,0.0014530102545204787,0.000242198917762554,0.0003168830257644336,0.0004145966172981295,0.0005424410305991979,0.0007097073622912251
